Genre,Category,Refined Category
J-rap,Hip Hop/Rap,Hip Hop/Rap
Latin Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Memphis Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Norwegian Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Old School Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Outer Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Polish Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Pop Rap,Hip Hop/Rap,Hip Hop/Rap
Rap,Hip Hop/Rap,Hip Hop/Rap
Rap Metal,Hip Hop/Rap,Hip Hop/Rap
Rap Metalcore,Hip Hop/Rap,Hip Hop/Rap
Russian Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Slovak Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Southern Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Spanish Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Swedish Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Swiss Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Trap Music,Hip Hop/Rap,Hip Hop/Rap
Trapstep,Hip Hop/Rap,Hip Hop/Rap
Turkish Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Uk Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Underground Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Underground Latin Hip Hop,Hip Hop/Rap,Hip Hop/Rap
Underground Pop Rap,Hip Hop/Rap,Hip Hop/Rap
Underground Rap,Hip Hop/Rap,Hip Hop/Rap
West Coast Rap,Hip Hop/Rap,Hip Hop/Rap
Acid House,Electronic,Electronic
Acid Techno,Electronic,Electronic
Ambient Dub Techno,Electronic,Electronic
Ambient Trance,Electronic,Electronic
Bouncy House,Electronic,Electronic
Bubble Trance,Electronic,Electronic
Chicago House,Electronic,Electronic
Chill-out Trance,Electronic,Electronic
Covertrance,Electronic,Electronic
Dark Minimal Techno,Electronic,Electronic
Dark Progressive House,Electronic,Electronic
Dark Psytrance,Electronic,Electronic
Deep Deep House,Electronic,Electronic
Deep Deep Tech House,Electronic,Electronic
Deep Disco House,Electronic,Electronic
Deep Dub Techno,Electronic,Electronic
Deep Euro House,Electronic,Electronic
Deep Funk House,Electronic,Electronic
Deep House,Electronic,Electronic
Deep Melodic House,Electronic,Electronic
Deep Minimal Techno,Electronic,Electronic
Deep Progressive House,Electronic,Electronic
Deep Progressive Trance,Electronic,Electronic
Deep Psytrance,Electronic,Electronic
Deep Soul House,Electronic,Electronic
Deep Tech House,Electronic,Electronic
Deep Uplifting Trance,Electronic,Electronic
Deep Vocal House,Electronic,Electronic
Destroy Techno,Electronic,Electronic
Detroit Techno,Electronic,Electronic
Disco House,Electronic,Electronic
Dub Techno,Electronic,Electronic
Dutch House,Electronic,Electronic
Electro House,Electronic,Electronic
Electronic,Electronic,Electronic
Electronica,Electronic,Electronic
Electronicore,Electronic,Electronic
Fidget House,Electronic,Electronic
Filter House,Electronic,Electronic
German Techno,Electronic,Electronic
Glitter Trance,Electronic,Electronic
Goa Trance,Electronic,Electronic
Greek House,Electronic,Electronic
Hard House,Electronic,Electronic
Hard Trance,Electronic,Electronic
Hardcore Techno,Electronic,Electronic
Hip House,Electronic,Electronic
House,Electronic,Electronic
Latin Electronica,Electronic,Electronic
Lounge House,Electronic,Electronic
Microhouse,Electronic,Electronic
Minimal Melodic Techno,Electronic,Electronic
Minimal Tech House,Electronic,Electronic
Minimal Techno,Electronic,Electronic
Nordic House,Electronic,Electronic
Outsider House,Electronic,Electronic
Pop House,Electronic,Electronic
Power Electronics,Electronic,Electronic
Progressive Electro House,Electronic,Electronic
Progressive House,Electronic,Electronic
Progressive Psytrance,Electronic,Electronic
Progressive Trance,Electronic,Electronic
Progressive Trance House,Electronic,Electronic
Progressive Uplifting Trance,Electronic,Electronic
Psychedelic Trance,Electronic,Electronic
Re:techno,Electronic,Electronic
Tech House,Electronic,Electronic
Techno,Electronic,Electronic
Trance,Electronic,Electronic
Trance Hop,Electronic,Electronic
Tribal House,Electronic,Electronic
Uplifting Trance,Electronic,Electronic
Vapor House,Electronic,Electronic
Vocal House,Electronic,Electronic
Witch House,Electronic,Electronic
Acid Jazz,Jazz,Jazz
Avant-garde Jazz,Jazz,Jazz
Bossa Nova Jazz,Jazz,Jazz
Contemporary Jazz,Jazz,Jazz
Cool Jazz,Jazz,Jazz
Danish Jazz,Jazz,Jazz
Dark Jazz,Jazz,Jazz
Deep Free Jazz,Jazz,Jazz
Deep Jazz Fusion,Jazz,Jazz
Deep Jazz Guitar,Jazz,Jazz
Deep Jazz Piano,Jazz,Jazz
Deep Smooth Jazz,Jazz,Jazz
Deep Vocal Jazz,Jazz,Jazz
Electro Jazz,Jazz,Jazz
Finnish Jazz,Jazz,Jazz
Free Jazz,Jazz,Jazz
Gypsy Jazz,Jazz,Jazz
Italian Jazz,Jazz,Jazz
Japanese Jazztronica,Jazz,Jazz
Jazz,Jazz,Jazz
Jazz Bass,Jazz,Jazz
Jazz Blues,Jazz,Jazz
Jazz Brass,Jazz,Jazz
Jazz Christmas,Jazz,Jazz
Jazz Funk,Jazz,Jazz
Jazz Fusion,Jazz,Jazz
Jazz Metal,Jazz,Jazz
Jazz Orchestra,Jazz,Jazz
Jazz Trio,Jazz,Jazz
Latin Jazz,Jazz,Jazz
Modern Free Jazz,Jazz,Jazz
Neo Soul-jazz,Jazz,Jazz
New Orleans Jazz,Jazz,Jazz
Norwegian Jazz,Jazz,Jazz
Nu Jazz,Jazz,Jazz
Polish Jazz,Jazz,Jazz
Smooth Jazz,Jazz,Jazz
Soul Jazz,Jazz,Jazz
South African Jazz,Jazz,World Music
Swedish Jazz,Jazz,Jazz
Turkish Jazz,Jazz,Jazz
Vintage Jazz,Jazz,Jazz
Vocal Jazz,Jazz,Jazz
West African Jazz,Jazz,World Music
Classical,Classical,Classical
Classical Christmas,Classical,Classical
Classical Flute,Classical,Classical
Classical Guitar,Classical,Classical
Classical Organ,Classical,Classical
Classical Performance,Classical,Classical
Classical Period,Classical,Classical
Classical Piano,Classical,Classical
Contemporary Classical,Classical,Classical
Deep Classical Piano,Classical,Classical
Deep Orchestral,Classical,Classical
Hindustani Classical,Classical,Classical
Indian Classical,Classical,Classical
Modern Classical,Classical,Classical
Neo Classical Metal,Classical,Classical
Neoclassical,Classical,Classical
Orchestral,Classical,Classical
Spanish Classical,Classical,Classical
Turkish Classical,Classical,Classical
Acoustic Pop,Pop,Pop
Albanian Pop,Pop,Pop
Alternative Pop,Pop,Pop
Antiviral Pop,Pop,Pop
Arab Pop,Pop,Pop
Australian Pop,Pop,Pop
Austropop,Pop,Pop
Bow Pop,Pop,Pop
Brazilian Pop Music,Pop,Pop
Brill Building Pop,Pop,Pop
Britpop,Pop,Pop
Bubblegum Pop,Pop,Pop
C-pop,Pop,Pop
Canadian Pop,Pop,Pop
Candy Pop,Pop,Pop
Cantopop,Pop,Pop
Chamber Pop,Pop,Pop
Classic Belgian Pop,Pop,Pop
Classic Chinese Pop,Pop,Pop
Classic Colombian Pop,Pop,Pop
Classic Czech Pop,Pop,Pop
Classic Danish Pop,Pop,Pop
Classic Dutch Pop,Pop,Pop
Classic Finnish Pop,Pop,Pop
Classic French Pop,Pop,Pop
Classic Italian Pop,Pop,Pop
Classic Norwegian Pop,Pop,Pop
Classic Peruvian Pop,Pop,Pop
Classic Polish Pop,Pop,Pop
Classic Russian Pop,Pop,Pop
Classic Swedish Pop,Pop,Pop
Classic Turkish Pop,Pop,Pop
Classic Venezuelan Pop,Pop,Pop
Croatian Pop,Pop,Pop
Dance Pop,Pop,Pop
Danish Pop,Pop,Pop
Deep Acoustic Pop,Pop,Pop
Deep Brazilian Pop,Pop,Pop
Deep Dance Pop,Pop,Pop
Deep Indian Pop,Pop,Pop
Deep Indie Pop,Pop,Pop
Deep Neo-synthpop,Pop,Pop
Deep Pop Emo,Pop,Pop
Deep Pop Punk,Pop,Pop
Deep Power-pop Punk,Pop,Pop
Deep Turkish Pop,Pop,Pop
Dominican Pop,Pop,Pop
Dream Pop,Pop,Pop
Dutch Pop,Pop,Pop
Electropowerpop,Pop,Pop
Estonian Pop,Pop,Pop
Etherpop,Pop,Pop
Ethiopian Pop,Pop,Pop
Europop,Pop,Pop
Faroese Pop,Pop,Pop
Finnish Pop,Pop,Pop
Folk-pop,Pop,Pop
French Folk Pop,Pop,Pop
French Indie Pop,Pop,Pop
French Pop,Pop,Pop
Futurepop,Pop,Pop
Garage Pop,Pop,Pop
Gauze Pop,Pop,Pop
German Pop,Pop,Pop
Grunge Pop,Pop,Pop
Hip Pop,Pop,Pop
Hungarian Pop,Pop,Pop
Icelandic Pop,Pop,Pop
Indian Pop,Pop,Pop
Indie Dream Pop,Pop,Pop
Indie Fuzzpop,Pop,Pop
Indie Pop,Pop,Pop
Indie Psych-pop,Pop,Pop
Indonesian Pop,Pop,Pop
Italian Indie Pop,Pop,Pop
Italian Pop,Pop,Pop
J-pop,Pop,Pop
J-poppunk,Pop,Pop
Jangle Pop,Pop,Pop
K-pop,Pop,Pop
Latin Pop,Pop,Pop
Latvian Pop,Pop,Pop
Malaysian Pop,Pop,Pop
Mande Pop,Pop,Pop
Mandopop,Pop,Pop
Math Pop,Pop,Pop
Metropopolis,Pop,Pop
Neo-synthpop,Pop,Pop
New Wave Pop,Pop,Pop
Noise Pop,Pop,Pop
Norwegian Pop,Pop,Pop
Operatic Pop,Pop,Pop
Pakistani Pop,Pop,Pop
Persian Pop,Pop,Pop
Polish Pop,Pop,Pop
Polynesian Pop,Pop,Pop
Pop,Pop,Pop
Pop Christmas,Pop,Pop
Pop Emo,Pop,Pop
Pop Punk,Pop,Pop
Popgaze,Pop,Pop
Portuguese Pop,Pop,Pop
Power Pop,Pop,Pop
Power-pop Punk,Pop,Pop
Romanian Pop,Pop,Pop
Russian Pop,Pop,Pop
Shimmer Pop,Pop,Pop
Shiver Pop,Pop,Pop
Singaporean Pop,Pop,Pop
Slovak Pop,Pop,Pop
Soda Pop,Pop,Pop
Spanish Indie Pop,Pop,Pop
Spanish Pop,Pop,Pop
Stomp Pop,Pop,Pop
Swamp Pop,Pop,Pop
Swedish Indie Pop,Pop,Pop
Swedish Pop,Pop,Pop
Swedish Pop Punk,Pop,Pop
Swedish Soft Pop,Pop,Pop
Swedish Synthpop,Pop,Pop
Synthpop,Pop,Pop
Taiwanese Pop,Pop,Pop
Teen Pop,Pop,Pop
Thai Pop,Pop,Pop
Turkish Pop,Pop,Pop
Twee Indie Pop,Pop,Pop
Twee Pop,Pop,Pop
Underground Power Pop,Pop,Pop
Vietnamese Pop,Pop,Pop
Vintage Swedish Pop,Pop,Pop
Viral Pop,Pop,Pop
Alternative Country,Country,Country
Australian Country,Country,Country
Canadian Country,Country,Country
Contemporary Country,Country,Country
Country,Country,Country
Country Blues,Country,Country
Country Christmas,Country,Country
Country Dawn,Country,Country
Country Gospel,Country,Country
Country Road,Country,Country
Deep Contemporary Country,Country,Country
Neo-traditional Country,Country,Country
Outlaw Country,Country,Country
Texas Country,Country,Country
Traditional Country,Country,Country
Vintage Country Folk,Country,Country
Anti-folk,Folk,Folk
Appalachian Folk,Folk,Folk
Arab Folk,Folk,Folk
Armenian Folk,Folk,Folk
Breton Folk,Folk,Folk
British Folk,Folk,Folk
Caucasian Folk,Folk,Folk
Central Asian Folk,Folk,Folk
Contemporary Folk,Folk,Folk
Corsican Folk,Folk,Folk
Czech Folk,Folk,Folk
Deep Folk Metal,Folk,Folk
Deep Neofolk,Folk,Folk
Deep Nordic Folk,Folk,Folk
Drone Folk,Folk,Folk
Ectofolk,Folk,Folk
Folk,Folk,Folk
Folk Christmas,Folk,Folk
Folk Metal,Folk,Folk
Folk Punk,Folk,Folk
Folk-prog,Folk,Folk
Folklore Argentino,Folk,Folk
Folkmusik,Folk,Folk
Freak Folk,Folk,Folk
French Folk,Folk,Folk
Geek Folk,Folk,Folk
Indie Folk,Folk,Folk
Irish Folk,Folk,Folk
Italian Folk,Folk,Folk
Kurdish Folk,Folk,Folk
Malagasy Folk,Folk,Folk
Neofolk,Folk,Folk
Nl Folk,Folk,Folk
Nordic Folk,Folk,Folk
Spanish Folk,Folk,Folk
String Folk,Folk,Folk
Swiss Folk,Folk,Folk
Traditional British Folk,Folk,Folk
Traditional Folk,Folk,Folk
Traditional Irish Folk,Folk,Folk
Traditional Scottish Folk,Folk,Folk
Turbo Folk,Folk,Folk
Turkish Folk,Folk,Folk
Fourth World,World Music,World Music
World,World Music,World Music
World Chill,World Music,World Music
World Christmas,World Music,World Music
World Fusion,World Music,World Music
Acoustic Blues,Blues,Blues
Blues,Blues,Blues
British Blues,Blues,Blues
Chicago Blues,Blues,Blues
Deep Delta Blues,Blues,Blues
Delta Blues,Blues,Blues
Desert Blues,Blues,Blues
Electric Blues,Blues,Blues
Garage Punk Blues,Blues,Blues
Gospel Blues,Blues,Blues
Harmonica Blues,Blues,Blues
Jump Blues,Blues,Blues
Louisiana Blues,Blues,Blues
Memphis Blues,Blues,Blues
Modern Blues,Blues,Blues
New Orleans Blues,Blues,Blues
Piano Blues,Blues,Blues
Piedmont Blues,Blues,Blues
Punk Blues,Blues,Blues
Soul Blues,Blues,Blues
Southern Soul Blues,Blues,Blues
Swamp Blues,Blues,Blues
Texas Blues,Blues,Blues
Traditional Blues,Blues,Blues
Chicago Soul,Soul/R&B,Soul/R&B
Deep Northern Soul,Soul/R&B,Soul/R&B
Deep Southern Soul,Soul/R&B,Soul/R&B
Memphis Soul,Soul/R&B,Soul/R&B
Neo Soul,Soul/R&B,Soul/R&B
Northern Soul,Soul/R&B,Soul/R&B
Post-disco Soul,Soul/R&B,Soul/R&B
Soul,Soul/R&B,Soul/R&B
Soul Christmas,Soul/R&B,Soul/R&B
Soul Flow,Soul/R&B,Soul/R&B
Southern Soul,Soul/R&B,Soul/R&B
Traditional Soul,Soul/R&B,Soul/R&B
Argentine Reggae,Reggae,Reggae
French Reggae,Reggae,Reggae
Gospel Reggae,Reggae,Reggae
Polish Reggae,Reggae,Reggae
Reggae,Reggae,Reggae
Reggae Fusion,Reggae,Reggae
Reggaeton,Reggae,Reggae
Roots Reggae,Reggae,Reggae
Skinhead Reggae,Reggae,Reggae
Spanish Reggae,Reggae,Reggae
Swedish Reggae,Reggae,Reggae
Traditional Reggae,Reggae,Reggae
Vintage Reggae,Reggae,Reggae
Deep Latin Alternative,Latin,Latin
Electro Latino,Latin,Latin
Latin,Latin,Latin
Latin Alternative,Latin,Latin
Latin Christian,Latin,Latin
Latin Christmas,Latin,Latin
Latin Metal,Latin,Latin
Alternative Metal,Metal,Metal
Alternative Metalcore,Metal,Metal
Atmospheric Black Metal,Metal,Metal
Atmospheric Post-metal,Metal,Metal
Avantgarde Metal,Metal,Metal
Black Metal,Metal,Metal
Brutal Death Metal,Metal,Metal
Canadian Metal,Metal,Metal
Chaotic Black Metal,Metal,Metal
Christian Metal,Metal,Metal
Cryptic Black Metal,Metal,Metal
Cyber Metal,Metal,Metal
Dark Black Metal,Metal,Metal
Death Metal,Metal,Metal
Deep Melodic Death Metal,Metal,Metal
Deep Melodic Metalcore,Metal,Metal
Deep Symphonic Black Metal,Metal,Metal
Deep Thrash Metal,Metal,Metal
Depressive Black Metal,Metal,Metal
Doom Metal,Metal,Metal
Drone Metal,Metal,Metal
Finnish Metal,Metal,Metal
Funk Metal,Metal,Metal
German Metal,Metal,Metal
Glam Metal,Metal,Metal
Gothic Metal,Metal,Metal
Gothic Symphonic Metal,Metal,Metal
Grim Death Metal,Metal,Metal
Grisly Death Metal,Metal,Metal
Groove Metal,Metal,Metal
Industrial Metal,Metal,Metal
J-metal,Metal,Metal
Melodic Death Metal,Metal,Metal
Melodic Metalcore,Metal,Metal
Melodic Power Metal,Metal,Metal
Melodic Progressive Metal,Metal,Metal
Metal,Metal,Metal
Metal Guitar,Metal,Metal
Metalcore,Metal,Metal
Neo Metal,Metal,Metal
Neo-trad Metal,Metal,Metal
Norwegian Metal,Metal,Metal
Nu Metal,Metal,Metal
Pagan Black Metal,Metal,Metal
Post-metal,Metal,Metal
Power Metal,Metal,Metal
Progressive Metal,Metal,Metal
Raw Black Metal,Metal,Metal
Retro Metal,Metal,Metal
Slam Death Metal,Metal,Metal
Sludge Metal,Metal,Metal
Speed Metal,Metal,Metal
Stoner Metal,Metal,Metal
Swedish Metal,Metal,Metal
Symphonic Black Metal,Metal,Metal
Symphonic Metal,Metal,Metal
Technical Brutal Death Metal,Metal,Metal
Technical Death Metal,Metal,Metal
Thrash Metal,Metal,Metal
Thrash-groove Metal,Metal,Metal
Unblack Metal,Metal,Metal
Viking Metal,Metal,Metal
Anarcho-punk,Punk,Punk
Brazilian Punk,Punk,Punk
Celtic Punk,Punk,Punk
Christian Punk,Punk,Punk
Cowpunk,Punk,Punk
Crust Punk,Punk,Punk
Dance-punk,Punk,Punk
Deep German Punk,Punk,Punk
Deep Gothic Post-punk,Punk,Punk
Deep Hardcore Punk,Punk,Punk
Electropunk,Punk,Punk
Emo Punk,Punk,Punk
Fast Melodic Punk,Punk,Punk
French Punk,Punk,Punk
Garage Punk,Punk,Punk
German Punk,Punk,Punk
Gothic Post-punk,Punk,Punk
Hardcore Punk,Punk,Punk
Horror Punk,Punk,Punk
Indie Post-punk,Punk,Punk
Italian Punk,Punk,Punk
J-punk,Punk,Punk
Noise Punk,Punk,Punk
Norwegian Punk,Punk,Punk
Polish Punk,Punk,Punk
Post-punk,Punk,Punk
Protopunk,Punk,Punk
Punk,Punk,Punk
Punk Christmas,Punk,Punk
Punk Ska,Punk,Punk
Russian Punk,Punk,Punk
Screamo Punk,Punk,Punk
Ska Punk,Punk,Punk
Skate Punk,Punk,Punk
Slash Punk,Punk,Punk
Spanish Punk,Punk,Punk
Steampunk,Punk,Punk
Street Punk,Punk,Punk
Swedish Punk,Punk,Punk
Uk Post-punk,Punk,Punk
Albuquerque Indie,Indie,Indie
Argentine Indie,Indie,Indie
Athens Indie,Indie,Indie
Austindie,Indie,Indie
Australian Indie,Indie,Indie
Belgian Indie,Indie,Indie
Brazilian Indie,Indie,Indie
Brooklyn Indie,Indie,Indie
Canadian Indie,Indie,Indie
Chicago Indie,Indie,Indie
Columbus Ohio Indie,Indie,Indie
Dallas Indie,Indie,Indie
Danish Indie,Indie,Indie
Deep Canadian Indie,Indie,Indie
Deep German Indie,Indie,Indie
Deep Indie Singer-songwriter,Indie,Indie
Denver Indie,Indie,Indie
Finnish Indie,Indie,Indie
German Indie,Indie,Indie
Greek Indie,Indie,Indie
Indie Christmas,Indie,Indie
Indie Emo,Indie,Indie
Indie R&amp;b,Indie,Indie
Indie Shoegaze,Indie,Indie
Indie Singer-songwriter,Indie,Indie
Indietronica,Indie,Indie
Indonesian Indie,Indie,Indie
Irish Indie,Indie,Indie
J-indie,Indie,Indie
K-indie,Indie,Indie
Kc Indie,Indie,Indie
La Indie,Indie,Indie
Leeds Indie,Indie,Indie
Louisville Indie,Indie,Indie
Mexican Indie,Indie,Indie
Michigan Indie,Indie,Indie
Northern Irish Indie,Indie,Indie
Nz Indie,Indie,Indie
Perth Indie,Indie,Indie
Polish Indie,Indie,Indie
Portland Indie,Indie,Indie
Rva Indie,Indie,Indie
Seattle Indie,Indie,Indie
Sheffield Indie,Indie,Indie
Slc Indie,Indie,Indie
Stl Indie,Indie,Indie
Thai Indie,Indie,Indie
Triangle Indie,Indie,Indie
Twin Cities Indie,Indie,Indie
Vancouver Indie,Indie,Indie
Vegas Indie,Indie,Indie
Vienna Indie,Indie,Indie
Alternative Dance,Dance,Dance
Australian Dance,Dance,Dance
Belly Dance,Dance,Dance
British Dance Band,Dance,Dance
Bubblegum Dance,Dance,Dance
Christian Dance,Dance,Dance
Dancehall,Dance,Dance
Deep Eurodance,Dance,Dance
Eurodance,Dance,Dance
Guidance,Dance,Dance
Intelligent Dance Music,Dance,Dance
Italo Dance,Dance,Dance
J-dance,Dance,Dance
Ambient,Ambient,Ambient
Ambient Fusion,Ambient,Ambient
Ambient Idm,Ambient,Ambient
Ambient Psychill,Ambient,Ambient
Dark Ambient,Ambient,Ambient
Deep Ambient,Ambient,Ambient
Future Ambient,Ambient,Ambient
J-ambient,Ambient,Ambient
Organic Ambient,Ambient,Ambient
Electroacoustic Improvisation,Acoustic,Acoustic
Abstract,Experimental,Experimental
Abstract Beats,Experimental,Experimental
Abstract Idm,Experimental,Experimental
Abstractro,Experimental,Experimental
Experimental,Experimental,Experimental
Experimental Dubstep,Experimental,Experimental
Experimental Psych,Experimental,Experimental
A Cappella,Other,Vocal
Accordion,Other,Instrumental
Acousmatic,Other,Experimental
Adult Standards,Other,Easy Listening
African Percussion,Other,World Music
Afrikaans,Other,World Music
Afrobeat,Other,World Music
Afrobeats,Other,World Music
Aggrotech,Other,Electronic
Alternative Americana,Other,Country
Alternative Emo,Other,Other
Alternative Hardcore,Other,Other
Alternative New Age,Other,Other
Alternative R&amp;b,Other,Other
Ambeat,Other,Other
Andean,Other,Other
Anime,Other,Other
Anime Score,Other,Other
Arabesk,Other,Other
Aussietronica,Other,Other
Avant-garde,Other,Other
Axe,Other,Other
Azonto,Other,Other
Bachata,Other,Other
Baile Funk,Other,Other
Balearic,Other,Other
Balkan Brass,Other,Other
Banda,Other,Other
Bangla,Other,Other
Barbershop,Other,Other
Barnemusikk,Other,Other
Barnmusik,Other,Other
Baroque,Other,Other
Baroque Ensemble,Other,Other
